,Roles,Companies,Locations,Requirements
5489,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5490,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5491,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5492,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5493,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5494,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5495,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5496,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5497,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5498,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5499,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5500,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5501,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5502,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5503,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5504,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5505,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5506,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5507,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5508,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5509,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5510,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5511,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5512,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5513,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5514,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5515,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5516,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5517,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5518,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5519,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5520,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5521,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5522,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5523,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5524,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5525,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5526,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5527,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5528,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5529,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5530,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5531,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5532,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5533,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5534,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5535,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5536,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5537,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5538,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5539,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5540,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5541,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5542,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5543,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5544,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5545,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5546,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5547,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5548,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5549,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5550,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5551,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5552,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5553,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5554,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5555,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5556,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5557,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5558,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5559,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5560,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5561,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5562,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5563,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5564,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5565,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5566,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5567,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5568,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5569,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5570,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5571,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5572,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5573,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5574,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5575,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5576,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5577,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5578,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5579,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5580,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5581,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5582,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5583,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5584,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5585,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5586,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5587,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5588,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5589,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5590,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5591,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5592,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5593,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5594,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5595,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5596,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5597,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5598,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5599,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5600,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5601,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5602,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5603,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5604,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5605,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5606,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5607,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5608,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5609,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5610,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5611,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5612,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5613,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5614,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5615,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5616,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5617,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5618,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5619,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5620,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5621,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5622,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5623,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5624,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5625,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5626,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5627,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5628,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5629,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5630,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
5631,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
5632,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
5633,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
5634,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
5635,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
5636,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
5637,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
5638,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
5639,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
5640,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
5641,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
5642,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
5643,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
5644,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
